session_id,layout_id,layout_repeat,layout,seed,seat,agent,model_id,strategy_id,strategy_label,prompt_sha256,factorial_block_id,profit,ruin,win_rate,total_hands,hands_survived,session_completed,early_exit_rate,showdown_frequency
7,7,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1897570070,2,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,7998.0,0,1.0,1,1.0,1,0.0,0.0
7,7,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b,1897570070,3,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-4002.0,0,0.0,1,1.0,1,0.0,0.0
8,8,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct,1174254657,0,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,1399.0,0,1.0,1,1.0,1,0.0,0.0
8,8,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct,1174254657,1,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-701.0,0,0.0,1,1.0,1,0.0,0.0
8,8,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct,1174254657,2,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,3.0,0,0.0,1,1.0,1,0.0,0.0
8,8,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct,1174254657,3,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-701.0,0,0.0,1,1.0,1,0.0,0.0
9,9,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603,516958926,0,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,-402.0,0,0.0,1,1.0,1,0.0,0.0
9,9,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603,516958926,1,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,6.0,0,0.0,1,1.0,1,0.0,0.0
9,9,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603,516958926,2,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,798.0,0,1.0,1,1.0,1,0.0,0.0
9,9,0,nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603,516958926,3,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-402.0,0,0.0,1,1.0,1,0.0,0.0
10,10,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b,1934409498,0,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,0.0,0,0.0,1,0.0,0,1.0,0.0
10,10,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b,1934409498,1,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-500.0,0,0.0,1,1.0,1,0.0,0.0
10,10,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b,1934409498,2,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-500.0,0,0.0,1,1.0,1,0.0,0.0
10,10,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b,1934409498,3,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,1000.0,0,1.0,1,1.0,1,0.0,0.0
11,11,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603,155364496,0,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,-702.0,0,0.0,1,1.0,1,0.0,0.0
11,11,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603,155364496,1,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,6.0,0,0.0,1,1.0,1,0.0,0.0
11,11,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603,155364496,2,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-702.0,0,0.0,1,1.0,1,0.0,0.0
11,11,0,nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603,155364496,3,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,1398.0,0,1.0,1,1.0,1,0.0,0.0
12,12,0,qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1462138013,0,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-400.0,0,0.0,1,1.0,1,0.0,0.0
12,12,0,qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1462138013,1,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-400.0,0,0.0,1,1.0,1,0.0,0.0
12,12,0,qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1462138013,2,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,800.0,0,1.0,1,1.0,1,0.0,0.0
12,12,0,qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > nvidia/nemotron-3-super-120b-a12b > stockmark/stockmark-2-100b-instruct,1462138013,3,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,0.0,0,0.0,1,1.0,1,0.0,0.0
13,13,0,qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,1054603578,0,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,6.0,0,0.0,1,1.0,1,0.0,0.0
13,13,0,qwen/qwen3.5-122b-a10b > mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,1054603578,1,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,2198.0,0,1.0,1,1.0,1,0.0,0.0
