session_id,layout_id,layout_repeat,layout,seed,seat,agent,model_id,strategy_id,strategy_label,prompt_sha256,factorial_block_id,profit,ruin,win_rate,total_hands,hands_survived,session_completed,early_exit_rate,showdown_frequency
7,7,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,1858924220,1,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-403.0,0,0.0,1,1.0,1,0.0,0.0
7,7,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,1858924220,2,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-403.0,0,0.0,1,1.0,1,0.0,0.0
7,7,1,mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b,1858924220,3,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,9.0,0,0.0,1,1.0,1,0.0,0.0
8,8,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1799327180,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-500.0,0,0.0,1,1.0,1,0.0,0.0
8,8,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1799327180,1,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-500.0,0,0.0,1,1.0,1,0.0,0.0
8,8,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1799327180,2,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,1000.0,0,1.0,1,1.0,1,0.0,0.0
8,8,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1799327180,3,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,0.0,0,0.0,1,0.0,0,1.0,0.0
9,9,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1176176340,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,7199.0,0,1.0,1,1.0,1,0.0,0.0
9,9,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1176176340,1,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-3601.0,0,0.0,1,1.0,1,0.0,0.0
9,9,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1176176340,2,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,3.0,0,0.0,1,1.0,1,0.0,0.0
9,9,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > nvidia/nemotron-3-super-120b-a12b > qwen/qwen3.5-122b-a10b,1176176340,3,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-3601.0,0,0.0,1,1.0,1,0.0,0.0
10,10,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-500.0,0,0.0,1,1.0,1,0.0,0.0
10,10,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,1,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,1000.0,0,1.0,1,1.0,1,0.0,0.0
10,10,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,2,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-500.0,0,0.0,1,1.0,1,0.0,0.0
10,10,0,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,1738713278,3,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,0.0,0,0.0,1,0.0,0,1.0,0.0
11,11,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,2047072412,0,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-904.0,0,0.0,1,1.0,1,0.0,0.0
11,11,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,2047072412,1,stockmark__stockmark-2-100b-instruct,stockmark__stockmark-2-100b-instruct,,,,,-904.0,0,0.0,1,1.0,1,0.0,0.0
11,11,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,2047072412,2,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,12.0,0,0.0,1,1.0,1,0.0,0.0
11,11,1,mistralai/mistral-small-4-119b-2603 > stockmark/stockmark-2-100b-instruct > qwen/qwen3.5-122b-a10b > nvidia/nemotron-3-super-120b-a12b,2047072412,3,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,1796.0,0,1.0,1,1.0,1,0.0,0.0
12,12,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,615827681,0,nvidia__nemotron-3-super-120b-a12b,nvidia__nemotron-3-super-120b-a12b,,,,,1600.0,0,1.0,1,1.0,1,0.0,0.0
12,12,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,615827681,1,mistralai__mistral-small-4-119b-2603,mistralai__mistral-small-4-119b-2603,,,,,-800.0,0,0.0,1,1.0,1,0.0,0.0
12,12,0,nvidia/nemotron-3-super-120b-a12b > mistralai/mistral-small-4-119b-2603 > qwen/qwen3.5-122b-a10b > stockmark/stockmark-2-100b-instruct,615827681,2,qwen__qwen3.5-122b-a10b,qwen__qwen3.5-122b-a10b,,,,,-800.0,0,0.0,1,1.0,1,0.0,0.0
